,Spiro_Data
0,17.3
1,20.6
2,18.1
3,24.6
4,24.15
5,22.3
6,27.8
7,22.55
8,29.35
9,40.25
10,48.0
11,51.35
12,53.8
13,42.35
14,46.95
15,56.4
16,63.7
17,67.8
18,80.2
19,91.25
20,83.35
21,82.85
22,92.9
23,84.55
24,94.4
25,89.15
26,85.2
27,92.3
28,78.2
29,99.4
30,75.9
31,85.9
32,79.5
33,84.2
34,87.2
35,81.75
36,85.7
37,89.15
38,88.65
39,86.2
40,89.25
41,71.65
42,83.85
43,86.35
44,63.1
45,74.5
46,69.0
47,72.35
48,77.05
49,73.5
50,83.9
51,92.1
52,84.0
53,82.6
54,88.1
55,83.35
56,70.15
57,61.95
58,51.75
59,64.55
60,62.15
61,67.05
62,86.65
63,83.15
64,67.5
65,73.35
66,85.7
67,68.55
68,60.15
69,57.8
70,71.25
71,73.0
72,70.65
73,72.55
74,68.9
75,76.0
76,61.2
77,67.55
78,64.7
79,60.45
80,66.45
81,63.4
82,62.5
83,66.35
84,64.5
85,59.0
86,72.25
87,63.4
88,70.9
89,78.3
90,76.75
91,80.35
92,73.7
93,79.75
94,74.75
95,81.05
96,65.8
97,73.5
98,58.65
99,64.9
100,59.2
101,66.25
102,80.35
103,64.0
104,59.6
105,53.65
106,57.45
107,57.65
108,59.35
109,61.35
110,69.05
111,75.3
112,60.45
113,72.4
114,60.45
115,69.5
116,61.35
117,60.95
118,69.3
119,68.15
120,68.75
121,81.0
122,71.6
123,72.9
124,69.0
125,72.55
126,81.9
127,76.7
128,60.15
129,70.5
130,58.15
131,72.1
132,86.15
133,87.45
134,81.7
135,71.65
136,70.7
137,81.55
138,86.2
139,83.35
140,81.5
141,73.65
142,69.9
143,73.6
144,70.55
145,77.25
146,74.4
147,77.55
148,76.9
149,83.55
150,93.55
151,86.5
152,92.85
153,81.8
154,73.6
155,67.15
156,84.35
157,86.95
158,86.75
159,66.5
160,73.1
161,86.55
162,73.3
163,90.4
164,78.1
165,74.15
166,78.85
167,94.15
168,80.65
169,73.7
170,82.6
171,83.9
172,82.0
173,85.6
174,76.5
175,88.95
176,94.65
177,91.25
178,80.2
179,70.1
180,83.8
181,65.7
182,75.2
183,85.5
184,87.95
185,75.7
186,84.0
187,77.85
188,88.25
189,73.35
190,72.7
191,78.45
192,73.95
193,70.95
194,75.45
195,85.4
196,72.2
197,77.7
198,74.85
199,75.5
200,64.3
201,74.75
202,68.65
203,74.2
204,73.85
205,70.65
206,70.35
207,76.35
208,80.05
209,62.45
210,67.5
211,57.05
212,65.5
213,59.45
214,70.9
215,71.1
216,66.8
217,58.3
218,60.1
219,57.9
220,54.7
221,63.05
222,57.4
223,60.8
224,52.7
225,56.8
226,70.4
227,62.95
228,68.3
229,61.45
230,77.25
231,59.05
232,63.15
233,63.55
234,61.5
235,79.0
236,67.25
237,59.35
238,63.15
239,64.9
240,69.55
241,60.9
242,77.1
243,73.8
244,72.5
245,70.05
246,68.65
247,61.15
248,66.75
249,55.5
250,67.1
251,63.75
252,48.2
253,63.25
254,66.55
255,66.25
256,66.3
257,61.9
258,76.55
259,68.95
260,75.5
261,89.4
262,82.5
263,83.1
264,80.6
265,86.7
266,86.0
267,77.35
268,77.55
269,77.15
270,79.0
271,92.2
272,78.4
273,75.3
274,93.05
275,93.15
276,83.75
277,83.0
278,87.2
279,86.35
280,74.7
281,74.95
282,83.2
283,93.0
284,103.45
285,88.75
286,78.85
287,87.55
288,98.35
289,87.1
290,90.85
291,98.8
292,93.55
293,95.65
294,95.4
295,100.65
296,97.2
297,85.9
298,97.75
299,105.4
300,105.2
301,99.2
302,97.05
303,99.45
304,94.65
305,101.25
306,102.15
307,90.75
308,87.85
309,83.4
310,90.1
311,85.1
312,86.95
313,80.35
314,84.3
315,80.3
316,79.75
317,82.35
318,79.15
319,79.65
320,83.4
321,81.55
322,73.85
323,72.5
324,74.35
325,70.4
326,70.75
327,65.6
328,65.85
329,69.85
330,72.5
331,68.65
332,70.05
333,70.8
334,65.8
335,67.95
336,65.0
337,67.65
338,65.15
339,63.6
340,60.5
341,61.2
342,59.4
343,62.3
344,60.6
345,59.35
346,55.6
347,54.35
348,53.45
349,53.05
350,54.5
351,51.25
352,53.3
353,53.45
354,44.05
355,46.1
356,43.4
357,47.65
358,44.6
359,41.9
360,43.75
361,48.45
362,43.15
363,40.35
364,40.25
365,42.15
366,42.65
367,36.05
368,36.15
369,34.05
370,34.05
371,34.2
372,33.55
373,31.15
374,32.8
375,32.4
376,28.65
377,24.95
378,25.1
379,23.85
380,23.7
381,23.35
382,22.35
383,22.6
384,22.0
385,22.15
386,22.45
387,22.4
388,23.0
389,23.65
390,22.45
391,18.85
392,17.3
393,16.65
394,13.2
395,14.6
396,14.85
397,14.45
398,12.5
399,13.45
400,11.85
401,9.95
402,8.8
403,8.05
404,8.25
405,8.7
406,7.6
407,6.85
408,6.05
409,6.6
410,6.4
411,4.8
412,3.2
413,3.7
414,3.35
415,2.3
416,1.85
417,1.65
418,1.2
419,0.9
420,0.15
421,-0.55
422,-0.75
423,-1.0
424,-1.45
425,-1.85
426,-2.35
427,-2.7
428,-3.05
429,-3.35
430,-3.7
431,-4.1
432,-4.65
433,-5.15
434,-5.7
435,-6.2
436,-6.75
437,-7.2
438,-7.8
439,-8.45
440,-9.2
441,-9.95
442,-10.55
443,-11.1
444,-11.6
445,-12.25
446,-12.65
447,-13.0
448,-13.4
449,-13.8
450,-14.35
451,-14.85
452,-15.25
453,-15.55
454,-15.9
455,-16.35
456,-16.75
457,-17.15
458,-17.55
459,-17.95
460,-18.4
461,-18.8
462,-18.85
463,-19.1
464,-19.35
465,-19.4
466,-19.65
467,-20.0
468,-20.45
469,-20.8
470,-21.45
471,-22.25
472,-22.8
473,-22.9
474,-22.95
475,-22.9
476,-23.65
477,-24.15
478,-24.5
479,-25.15
480,-25.95
481,-26.5
482,-26.95
483,-27.6
484,-28.1
485,-28.85
486,-29.25
487,-28.55
488,-28.6
489,-29.4
490,-30.0
491,-31.0
492,-31.95
493,-32.2
494,-33.05
495,-33.8
496,-34.35
497,-34.45
498,-34.7
499,-35.75
500,-36.0
501,-37.25
502,-37.15
503,-36.85
504,-35.8
505,-34.95
506,-35.6
507,-36.75
508,-37.4
509,-38.05
510,-38.0
511,-38.3
512,-38.05
513,-37.85
514,-38.15
515,-37.2
516,-37.2
517,-37.95
518,-38.6
519,-38.3
