,Data
0,0.0
1,0.0
2,0.0
3,0.0
4,0.05
5,0.0
6,0.0
7,0.0
8,0.0
9,0.05
10,0.0
11,0.05
12,0.05
13,0.05
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.05
32,0.05
33,0.05
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,-0.05
46,-0.05
47,-0.05
48,-0.05
49,-0.05
50,-0.05
51,-0.05
52,-0.05
53,-0.05
54,-0.1
55,-0.1
56,-0.1
57,-0.1
58,-0.1
59,-0.1
60,-0.15
61,-0.15
62,-0.15
63,-0.2
64,-0.2
65,-0.25
66,-0.25
67,-0.3
68,-0.3
69,-0.35
70,-0.4
71,-0.4
72,-0.45
73,-0.5
74,-0.55
75,-0.6
76,-0.65
77,-0.7
78,-0.75
79,-0.8
80,-0.85
81,-0.95
82,-1.05
83,-1.1
84,-1.2
85,-1.25
86,-1.3
87,-1.4
88,-1.5
89,-1.55
90,-1.6
91,-1.65
92,-1.7
93,-1.8
94,-1.85
95,-1.95
96,-2.0
97,-2.0
98,-2.1
99,-2.1
100,-2.15
101,-2.2
102,-2.25
103,-2.25
104,-2.3
105,-2.3
106,-2.3
107,-2.3
108,-2.3
109,-2.3
110,-2.25
111,-2.2
112,-2.15
113,-2.05
114,-2.0
115,-1.9
116,-1.8
117,-1.75
118,-1.7
119,-1.65
120,-1.55
121,-1.5
122,-1.45
123,-1.4
124,-1.4
125,-1.35
126,-1.3
127,-1.25
128,-1.25
129,-1.2
130,-1.2
131,-1.15
132,-1.1
133,-1.1
134,-1.05
135,-1.0
136,-0.95
137,-0.85
138,-0.8
139,-0.75
140,-0.7
141,-0.65
142,-0.6
143,-0.55
144,-0.5
145,-0.45
146,-0.35
147,-0.25
148,-0.15
149,-0.1
150,0.0
151,0.05
152,0.1
153,0.15
154,0.25
155,0.35
156,0.6
157,0.95
158,1.1
159,1.15
160,1.15
161,1.15
162,1.15
163,1.1
164,1.0
165,0.9
166,0.75
167,0.6
168,0.5
169,0.4
170,0.35
171,0.3
172,0.25
173,0.2
174,0.15
175,0.15
176,0.1
177,0.05
178,0.05
179,0.0
180,0.0
181,-0.05
182,-0.05
183,-0.05
184,-0.05
185,0.0
186,0.05
187,0.05
188,0.1
189,0.1
190,0.15
191,0.15
192,0.2
193,0.2
194,0.25
195,0.3
196,0.3
197,0.3
198,0.3
199,0.25
200,0.25
201,0.2
202,0.15
203,0.1
204,0.1
205,0.1
206,0.1
207,0.1
208,0.1
209,0.15
210,0.15
211,0.2
212,0.25
213,0.25
214,0.35
215,0.45
216,0.6
217,0.9
218,1.15
219,1.4
220,1.7
221,2.0
222,2.4
223,2.8
224,3.4
225,4.25
226,4.9
227,6.95
228,9.5
229,12.5
230,13.75
231,14.65
232,16.55
233,15.4
234,16.7
235,22.05
236,25.6
237,25.3
238,24.0
239,24.95
240,27.0
241,27.55
242,29.95
243,34.1
244,46.0
245,48.0
246,50.8
247,45.0
248,42.1
249,44.05
250,47.2
251,57.95
252,61.8
253,62.75
254,71.45
255,70.5
256,64.95
257,65.35
258,64.45
259,68.45
260,73.95
261,71.2
262,79.7
263,90.65
264,78.7
265,78.0
266,83.25
267,77.0
268,76.55
269,74.1
270,78.95
271,79.4
272,83.95
273,94.0
274,92.95
275,89.25
276,91.75
277,95.6
278,74.55
279,68.8
280,82.9
281,79.2
282,78.15
283,79.95
284,78.55
285,69.5
286,71.5
287,81.95
288,87.7
289,90.15
290,90.6
291,86.7
292,85.4
293,77.8
294,84.35
295,97.8
296,88.8
297,79.45
298,80.5
299,89.8
300,94.25
301,97.6
302,92.55
303,84.7
304,90.55
305,92.65
306,89.2
307,92.85
308,83.9
309,94.0
310,94.65
311,85.4
312,85.25
313,95.3
314,91.8
315,85.95
316,78.6
317,77.65
318,87.2
319,90.4
320,90.7
321,91.45
322,84.45
323,84.2
324,88.1
325,88.0
326,92.45
327,92.15
328,83.0
329,85.6
330,86.85
331,84.3
332,82.45
333,85.5
334,82.8
335,79.25
336,78.3
337,84.45
338,96.05
339,85.7
340,84.1
341,84.75
342,85.85
343,81.85
344,83.6
345,71.3
346,63.0
347,60.7
348,72.4
349,74.45
350,80.8
351,82.45
352,87.9
353,88.65
354,84.8
355,94.5
356,90.45
357,83.95
358,73.75
359,72.6
360,81.7
361,88.95
362,92.75
363,105.85
364,106.8
365,106.95
366,110.35
367,106.85
368,100.95
369,116.75
370,122.85
371,94.0
372,73.3
373,73.7
374,80.1
375,74.2
376,82.4
377,81.45
378,83.05
379,101.15
380,99.5
381,100.4
382,88.5
383,97.6
384,86.8
385,82.4
386,83.0
387,87.4
388,91.65
389,107.8
390,100.05
391,73.75
392,82.35
393,90.5
394,97.8
395,109.2
396,119.7
397,112.35
398,108.9
399,111.0
400,104.2
401,108.65
402,108.15
403,118.35
404,118.7
405,95.3
406,79.05
407,80.05
408,79.95
409,64.2
410,91.55
411,89.3
412,82.15
413,70.1
414,69.35
415,69.65
416,70.95
417,76.2
418,84.2
419,63.35
420,77.15
421,99.85
422,101.65
423,95.45
424,93.55
425,96.2
426,98.45
427,82.95
428,94.3
429,86.45
430,87.25
431,107.9
432,92.25
433,86.75
434,95.0
435,95.95
436,92.05
437,82.9
438,84.45
439,87.0
440,79.55
441,75.4
442,74.25
443,77.85
444,90.6
445,110.45
446,103.5
447,105.5
448,103.65
449,104.25
450,103.05
451,109.15
452,92.2
453,73.8
454,71.65
455,79.4
456,83.7
457,75.55
458,89.05
459,95.3
460,94.4
461,91.3
462,94.85
463,88.7
464,74.3
465,67.2
466,66.95
467,62.0
468,68.15
469,62.75
470,62.65
471,67.85
472,94.3
473,93.1
474,85.25
475,83.15
476,81.0
477,68.0
478,76.95
479,68.45
480,74.5
481,71.95
482,75.5
483,78.35
484,85.35
485,75.75
486,79.35
487,78.15
488,86.0
489,84.35
490,84.65
491,87.8
492,77.55
493,83.8
494,87.65
495,76.8
496,75.05
497,67.55
498,79.65
499,83.85
500,82.4
501,78.5
502,82.4
503,83.05
504,87.2
505,93.85
506,95.9
507,81.95
508,81.85
509,68.3
510,76.5
511,71.6
512,69.2
513,75.9
514,92.55
515,84.3
516,77.2
517,93.2
518,91.8
519,91.15
520,87.0
521,84.0
522,83.65
523,91.15
524,96.5
525,91.2
526,96.75
527,89.1
528,82.55
529,87.75
530,91.25
531,86.25
532,79.1
533,77.85
534,69.8
535,63.55
536,68.95
537,69.5
538,84.7
539,82.65
540,67.5
541,67.3
542,69.4
543,63.0
544,70.4
545,77.1
546,86.35
547,88.85
548,86.9
549,88.0
550,91.15
551,81.5
552,79.95
553,75.65
