,Data
0,0.0
1,-0.05
2,-0.05
3,0.0
4,0.0
5,0.0
6,0.05
7,0.05
8,0.05
9,0.05
10,0.05
11,0.05
12,0.05
13,0.05
14,0.05
15,0.05
16,0.05
17,0.05
18,0.05
19,0.05
20,0.0
21,0.0
22,0.0
23,0.0
24,-0.05
25,-0.05
26,-0.05
27,-0.05
28,-0.1
29,-0.1
30,-0.1
31,-0.1
32,-0.1
33,-0.1
34,-0.05
35,-0.05
36,-0.05
37,-0.05
38,0.0
39,0.0
40,0.05
41,0.05
42,0.05
43,0.05
44,0.0
45,0.0
46,0.0
47,-0.05
48,-0.05
49,-0.05
50,-0.05
51,-0.05
52,-0.05
53,-0.05
54,-0.05
55,-0.05
56,-0.05
57,-0.05
58,-0.05
59,-0.05
60,-0.05
61,-0.05
62,-0.05
63,-0.1
64,-0.1
65,-0.1
66,-0.1
67,-0.1
68,-0.05
69,-0.05
70,-0.05
71,-0.05
72,-0.05
73,0.0
74,0.0
75,0.0
76,0.0
77,0.05
78,0.05
79,0.05
80,0.05
81,0.1
82,0.1
83,0.1
84,0.1
85,0.1
86,0.1
87,0.1
88,0.1
89,0.1
90,0.1
91,0.1
92,0.1
93,0.1
94,0.1
95,0.1
96,0.1
97,0.1
98,0.1
99,0.1
100,0.05
101,0.05
102,0.1
103,0.1
104,0.05
105,0.1
106,0.1
107,0.1
108,0.1
109,0.1
110,0.1
111,0.1
112,0.1
113,0.1
114,0.1
115,0.1
116,0.1
117,0.1
118,0.1
119,0.1
120,0.1
121,0.1
122,0.1
123,0.1
124,0.1
125,0.1
126,0.1
127,0.1
128,0.05
129,0.05
130,0.05
131,0.05
132,0.05
133,0.05
134,0.05
135,0.05
136,0.05
137,0.05
138,0.05
139,0.05
140,0.05
141,0.05
142,0.05
143,0.05
144,0.05
145,0.05
146,0.05
147,0.05
148,0.05
149,0.05
150,0.05
151,0.0
152,0.0
153,0.05
154,0.05
155,0.05
156,0.05
157,0.05
158,0.1
159,0.05
160,0.1
161,0.05
162,0.05
163,0.05
164,0.05
165,0.05
166,0.05
167,0.05
168,0.05
169,0.05
170,0.05
171,0.05
172,0.05
173,0.05
174,0.05
175,0.05
176,0.05
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.05
188,0.05
189,0.05
190,0.05
191,0.05
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,-0.05
207,-0.05
208,-0.05
209,-0.05
210,-0.05
211,-0.1
212,-0.1
213,-0.1
214,-0.1
215,-0.1
216,-0.15
217,-0.15
218,-0.15
219,-0.15
220,-0.15
221,-0.15
222,-0.15
223,-0.15
224,-0.1
